date,close,volume,relative_volume,ma_alignment,price_vs_sma_50_pct,rsi_14,rsi_overbought,rsi_oversold,atr_14,atr_pct,market_stage,sma_5,sma_10,sma_20,sma_50,sma_100,sma_200,sma_5_diff_pct,sma_10_diff_pct,sma_20_diff_pct,sma_50_diff_pct,sma_100_diff_pct,sma_200_diff_pct
2022-10-04,4640.0,256367100,1.3828059508956208,0,4.825591903126703,61.49460292129829,0,0,91.07339000019519,1.9627885775904137,unknown,4532.0,4532.0,4544.0,4426.4,,,0.4878048780487809,0.33207881337171674,0.08810572687225626,0.17652650160682182,,
2022-10-05,4540.0,182246200,0.996361251110303,0,2.469191531620991,52.969561936325285,0,0,93.14138779032507,2.0515724182890986,unknown,4536.0,4531.0,4548.0,4430.6,,,0.08826125330980705,-0.022065313327446212,0.08802816901407606,0.09488523405025706,,
2022-10-06,4510.0,123346200,0.6986061768543596,0,1.704852967707026,50.69884260562185,0,0,90.77221887315307,2.0126877798925293,unknown,4542.0,4526.0,4543.5,4434.4,,,0.1322751322751392,-0.11035091591260482,-0.09894459102902653,0.08576716471808687,,
2022-10-07,4440.0,133678600,0.75405341092734,0,0.09017132551848511,45.76862170343803,0,0,90.00219311269578,2.027076421457112,unknown,4532.0,4522.0,4535.0,4436.0,,,-0.22016732716865217,-0.0883782589482962,-0.18708044459117001,0.0360815442901119,,
2022-10-10,4370.0,193923600,1.0650648810025463,0,-1.4922681574320324,41.42985380960703,0,0,90.71682334301329,2.075899847666208,unknown,4500.0,4505.0,4525.5,4436.2,,,-0.7060900264783787,-0.3759398496240629,-0.20948180815876238,0.004508566275918113,,
2022-10-11,4430.0,133742200,0.7361720996079401,0,-0.17126374616910858,46.142677933038414,0,0,88.52133482424088,1.998224262398214,unknown,4458.0,4495.0,4518.0,4437.6,4370.3,,-0.9333333333333305,-0.2219755826859071,-0.1657275439178041,0.03155854109373468,,
2022-10-12,4400.0,128741800,0.7128105473889332,0,-0.8473048494681892,44.22647314831761,0,0,87.19758187869759,1.9817632245158545,unknown,4430.0,4483.0,4509.0,4437.6,4370.0,,-0.6280843427545979,-0.26696329254727313,-0.19920318725099584,0.0,-0.006864517310023466,
2022-10-13,4350.0,104269900,0.6096164262522589,0,-1.9607843137254901,41.158627917791144,0,0,85.96849304411515,1.9762871964164401,unknown,4398.0,4470.0,4496.0,4437.0,4370.2,,-0.7223476297968379,-0.28998438545616567,-0.28831226436016877,-0.013520822065993254,0.004576659038901809,
2022-10-14,4270.0,180841100,1.0896716459208122,0,-3.724747474747471,36.7643936010891,0,0,88.40058303576468,2.0702712654745827,unknown,4364.0,4448.0,4484.5,4435.2,4368.3,,-0.7730786721236949,-0.4921700223713632,-0.25578291814946086,-0.040567951318459805,-0.04347627110886654,
2022-10-17,4300.0,145506000,0.8738418919464287,0,-3.0221019395579614,39.3781635618232,0,0,86.37098733828154,2.0086276125181755,unknown,4350.0,4425.0,4471.0,4434.0,4367.8,,-0.32080659945004086,-0.5170863309352569,-0.30103690489463597,-0.027056277056269895,-0.011446100313627916,
2022-10-18,4290.0,161444100,0.9629807601401942,0,-3.212706434437317,38.802421534303846,0,0,84.48649818432887,1.969382242058948,unknown,4322.0,4390.0,4461.0,4432.4,4365.3,,-0.6436781609195363,-0.7909604519773961,-0.2236636099306688,-0.036084799278313096,-0.05723705297862036,
2022-10-19,4300.0,81682300,0.49886689313738986,0,-2.938919236151863,39.751072553603564,0,0,82.73673215354574,1.924110050082459,unknown,4302.0,4366.0,4448.5,4430.2,4364.0,,-0.46274872744099804,-0.5466970387243753,-0.280206231786595,-0.04963450952080173,-0.02978031292236727,
2022-10-20,4390.0,149521700,0.8997007530154555,0,-0.9431833566496723,47.620777977754074,0,0,85.3994262974,1.9453172277312074,unknown,4310.0,4354.0,4440.0,4431.8,4361.6,,0.18596001859600975,-0.2748511223087502,-0.19107564347532469,0.03611575098190212,-0.05499541704857558,
2022-10-21,4430.0,165052200,0.9854486902125561,0,-0.07669057608155448,50.70278555160746,0,0,86.44269994251057,1.9513024817722477,unknown,4342.0,4353.0,4437.5,4433.4,4361.1,,0.742459396751749,-0.022967386311434357,-0.05630630630630851,0.036102712216234956,-0.01146368305209311,
2022-10-24,4500.0,186997700,1.1486211156012307,0,1.4198782961460445,55.62372717384377,0,0,88.12592682861019,1.958353929524671,unknown,4382.0,4366.0,4435.5,4437.0,4360.9,,0.9212344541685846,0.2986446129106257,-0.04507042253520943,0.08120178643931109,-0.004585998945239034,
