symbol,pattern,stage,atr,relative_volume,support,resistance,sma_change_5,sma_change_10,sma_change_20,sma_change_50,sma_change_100,sma_change_200,error
GDYR.JK,symmetrical wedge,topping,53.01,0.26,1239.59,1243.6,,,,,,,
GEMA.JK,channel down,basing,8.32,1.37,87.19,82.07,,,,,,,
GEMS.JK,channel up,topping,340.37,2.07,9829.03,9818.46,,,,,,,
GGRM.JK,channel down,breakout,277.5,0.67,10043.21,9679.79,,,,,,,
GHON.JK,channel down,breakout,45.78,3.53,1577.14,1600.08,,,,,,,
GIAA.JK,channel down,breakout,1.18,5.2,36.6,36.81,,,,,,,
GJTL.JK,channel up,breakout,33.77,0.45,1155.43,1133.66,,,,,,,
GLOB.JK,channel down,breakdown,2.2,0.26,60.0,95.0,,,,,,,
GMFI.JK,channel down,breakout,1.17,3.26,45.5,51.36,,,,,,,
GMTD.JK,channel up,basing,131.21,3.34,3139.22,3086.04,,,,,,,
GOLD.JK,channel down,topping,8.49,0.43,250.97,256.56,,,,,,,
GOLF.JK,channel down,breakout,10.62,0.5,246.27,257.57,,,,,,,
GOOD.JK,channel down,topping,9.93,0.6,387.76,400.01,,,,,,,
GOTO.JK,channel down,breakdown,3.97,0.67,94.39,85.36,,,,,,,
GPRA.JK,channel down,breakout,5.9,0.73,121.0,134.33,,,,,,,
GPSO.JK,channel up,breakout,33.02,0.04,389.34,440.13,,,,,,,
GRIA.JK,channel up,topping,3.51,0.01,88.94,92.87,,,,,,,
GRPH.JK,sideways,basing,0.42,10.9,50.0,50.0,,,,,,,
GRPM.JK,channel down,breakout,4.44,0.29,53.53,65.34,,,,,,,
GSMF.JK,multiple bottoms,basing,1.72,0.04,53.33,56.01,,,,,,,
GTBO.JK,channel up,basing,8.99,0.21,133.09,139.77,,,,,,,
GTRA.JK,channel down,basing,9.24,0.34,128.22,142.09,,,,,,,
GTSI.JK,channel down,basing,1.54,0.14,43.54,47.89,,,,,,,
GULA.JK,channel up,basing,12.1,0.23,311.62,324.08,,,,,,,
